,,,,,,SAMPLE_NAME,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
BIOCHEMICAL,PLATFORM,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
1-stearoyl-GPI (18:0),Method 3,796963-93-4,,21403067,,HMDB61696,,"134,290","313,795","249,598","463,117","332,926","579,431","1,028,246","933,024","747,095","687,119","760,235","1,221,380","1,114,416","1,120,978","1,027,691","420,727","695,981","813,145","2,156,235","2,599,999","1,080,805","1,942,447","2,779,537"
1-stearoyl-GPS (18:0)*,Method 3,,9547101,7826051,,,,"178,453","325,481","575,914",,"324,061","847,641","1,689,826","752,757","1,440,625","448,459","481,545","7,281,933","11,737,824","12,286,313","18,809,798","3,497,544","9,506,971","3,787,854","14,761,252","19,073,522","3,266,600","20,157,150","10,038,808"
10-heptadecenoate (17:1n7),Method 3,29743-97-3,5312435,4471860,,HMDB60038,"1,726,977","1,940,512","1,858,029","2,824,223","3,536,226","2,255,792","2,673,278","3,545,569","5,993,790","4,093,832","3,521,633","2,150,034","4,536,431","3,477,347","4,351,128","3,045,153","2,775,659","1,754,211","6,397,099","3,758,634","7,874,082","1,901,065","4,714,242","6,369,932"
10-nonadecenoate (19:1n9),Method 3,73033-09-7,5312513,4471938,,HMDB13622,"120,004","880,114","941,076","1,604,895","2,108,113","1,218,273","1,559,866","1,981,119","5,927,804","3,183,633","1,992,232","1,976,717","3,165,697","2,152,419","3,125,553","1,965,604","1,725,497","972,632","2,929,413","2,568,642","5,675,435","1,364,200","3,712,189","4,979,186"
13-HODE + 9-HODE,Method 3,,43013,,,,,"716,565","501,507","785,794","698,254","1,033,533","1,202,298","519,812","1,796,672","505,427","1,069,741","878,623","780,190","395,766","291,716","721,335","306,663","478,779","1,069,272","1,367,854","970,991",,"1,176,892","663,856"
2'-deoxycytidine,Method 3,951-77-9,13711,13117,C00881,HMDB00014,,"48,330","33,903","117,000","115,668","66,039","103,135",,,"159,234","105,801","64,964","705,832","155,008","331,784","461,178","1,010,205","249,191","1,244,051","1,260,436","547,155","708,958","793,899","935,975"
2'-deoxyguanosine,Method 1,961-07-9,187790,163230,C00330,HMDB00085,,"1,234,645","1,975,351",,,"451,950","809,927","1,263,070","55,737",,"837,501","1,116,127","1,343,768","486,150","1,135,831","566,136","1,298,074","837,649","2,838,038","2,145,018","2,014,689","642,045","993,055","1,454,592"
2'-deoxyinosine,Method 3,890-38-0,65058,58569,C05512,HMDB00071,,,,,,,,,,,,,"278,329","47,982","126,252","118,660","305,516","110,989","377,061","672,530","267,800","195,580","243,032","400,856"
2'-deoxyuridine,Method 3,951-78-0,13712,13118,C00526,HMDB00012,"79,139","127,647","71,060","77,031","61,833","106,219","38,010",,,"79,583","115,113","52,102","285,702","75,326","144,444","100,694","159,653","101,638","222,180","215,487","225,260","136,360","155,230","303,916"
2-aminoadipate,Method 1,542-32-5;1118-90-7,469,456,C00956,HMDB00510,"4,287,610","14,492,189","7,580,534","9,925,687","14,998,346","8,275,191","13,658,343","5,570,799","9,247,853","14,155,569","15,764,538","4,737,283","4,212,774","2,436,699","3,973,327","2,828,293","3,505,906","3,312,231","5,582,222","3,911,347","3,582,190","3,436,167","3,444,608","3,986,744"
2-arachidonoylglycerol (20:4),Method 1,53847-30-6,5282280,4445451,C13856,HMDB04666,"188,750","542,231","763,640","767,361","1,076,827","1,021,110",,"571,497","688,759","2,768,206","2,590,290","194,036","1,376,627","1,245,452","971,065","701,940","1,748,301","3,502,048","1,459,725","2,051,698","2,888,142","1,622,427","1,810,710","1,657,476"
2-docosahexaenoylglcyerol*,Method 3,,,24765781,,HMDB11557,,"115,020","262,803","309,619","575,210","298,806","292,981","342,446","574,692","327,942","271,358","435,754","918,820","892,806","1,274,278",,"620,084","351,898","790,050","1,261,828","2,241,021","277,159","1,335,670","2,831,022"
2-hydroxy-3-methylvalerate,Method 3,488-15-3,164623,144317,,HMDB00317,"123,051","166,427","82,259","93,579",,"210,192","112,199","189,440",,"148,295","134,969",,"96,927","134,969",,"102,652","107,760","100,155","211,728","140,190",,,,"64,494"
2-hydroxybutyrate/2-hydroxyisobutyrate,Method 4,,,,,,"136,571","267,317","231,898","185,467","232,976","414,333","354,149","305,741","200,047","241,874","202,219","252,105","368,608","122,805","1,383,568","169,292","447,174","343,323","841,517","616,444","450,909","385,544","357,885","699,150"
2-hydroxyglutarate,Method 4,40951-21-1,43,42,C02630,HMDB00606,"2,801,290","3,224,657","3,494,546","4,611,856","5,273,405","4,262,399","3,013,734","3,344,597","2,448,368","4,473,749","4,505,665","2,876,696","3,782,118","2,640,903","4,692,358","3,364,100","5,704,207","5,262,107","10,593,921","5,669,755","4,324,231","5,402,924","4,284,417","4,690,172"
2-hydroxypalmitate,Method 3,764-67-0,92836,83805,,HMDB31057,"4,873,431","8,387,824","10,137,799","14,371,222","16,836,272","14,590,794","18,023,760","28,617,022","55,860,280","28,908,312","17,719,662","18,341,518","11,964,729","16,706,053","27,278,788","18,505,416","7,257,155","7,950,708","5,434,579","8,698,008","31,933,902","6,229,580","23,605,704","13,952,613"
2-hydroxystearate,Method 3,629-22-1,69417,62625,C03045,,"765,515","882,405","1,264,669","1,378,074","1,604,170","1,682,207","1,793,714","1,826,020","6,087,448","3,107,241","2,118,520","1,801,675","441,552","1,742,386","2,789,756","2,232,294","1,607,335","1,281,066","1,368,087","1,435,887","4,810,302","1,461,200","4,118,284","2,296,855"
2-linoleoylglycerol (18:2),Method 3,3443-82-1,5365676,4517636,,HMDB11538,"422,308","594,672","1,243,452","1,163,136","1,883,555","1,179,535","2,128,159","1,643,196","2,294,390","2,004,374","1,957,399","1,784,120","7,732,075","3,976,374","3,235,252","1,201,848","1,262,804","1,533,208","3,407,029","4,972,660","7,646,985","1,839,375","4,964,461","19,507,520"
