,molecular_weight
C00772,146.057909
C00779,194.057909
C00780,176.094963
C00783,139.099714
C00785,138.042927
C00788,183.089543
C00791,113.058912
C00792,174.111676
C00793,121.019749
C00794,182.079038
C00795,180.063388
C00800,196.058303
C00802,132.017107
C00803,102.06808
C00805,138.031694
C00808,152.120115
C00809,152.120115
C00811,164.047344
C00813,128.022192
C00815,148.037173
C00817,196.058303
C00819,146.069142
C00820,119.058243
C00822,195.053158
C00829,128.0626
C00830,117.990223
C00843,154.135765
C00846,160.037173
C00847,183.053158
C00848,168.11503
C00850,173.998679
C00854,100.088815
C00855,149.051049
C00860,141.090212
C00861,164.068473
C00870,139.026943
C00872,119.021858
C00878,166.047738
C00880,196.058303
C00898,150.016438
C00900,132.042259
C00902,130.062994
C00903,132.057515
C00905,194.042653
C00906,128.058578
C00913,149.070145
C00919,183.056529
C00922,144.042259
C00936,180.063388
C00940,145.037508
C00944,190.047738
C00950,154.012221
C00954,175.063329
C00955,161.084064
C00956,161.068808
C00957,119.988115
C00962,180.063388
C00964,152.120115
C00966,146.057909
C00971,165.042593
C00975,148.000788
C00979,147.053158
C00984,180.063388
C00988,155.982374
C00989,104.047344
C00990,116.094963
C00993,160.084792
C01004,137.047678
C01005,185.008924
C01010,104.022192
C01012,130.062994
C01014,152.08373
C01015,131.058243
C01018,164.068473
C01019,164.068473
C01020,139.026943
C01026,103.063329
C01028,162.100442
C01029,187.168462
C01035,145.085127
C01037,188.152478
C01040,178.047738
C01041,175.024263
C01042,175.048072
C01043,132.053492
C01044,161.032422
C01045,175.048072
C01046,161.068808
C01047,174.100442
C01053,146.057909
C01056,178.110613
C01059,111.032028
C01062,194.042653
C01066,112.05243
C01073,131.058243
C01077,161.068808
C01087,148.037173
C01088,162.052823
C01089,104.047344
C01092,187.120843
C01102,199.024574
C01108,126.031694
C01109,158.069142
C01110,131.058243
C01114,148.037173
C01115,178.047738
C01119,151.996571
C01123,152.120115
C01125,128.047344
C01127,162.016438
C01142,146.105528
C01146,104.010959
C01147,114.06808
C01149,130.123189
C01152,169.085127
C01157,131.058243
C01161,168.042259
C01162,155.069477
C01163,186.016438
C01165,131.058243
C01173,176.047344
C01179,180.042259
C01180,148.019415
C01181,146.118104
C01183,137.084064
C01186,146.105528
C01188,104.047344
C01197,180.042259
C01198,166.062994
C01205,103.063329
C01207,198.052823
C01210,155.034744
C01214,179.079373
C01215,187.048072
C01216,178.047738
C01234,101.047678
C01250,173.068808
C01270,153.042593
C01278,186.016438
C01279,139.074562
C01295,192.063388
C01297,194.105528
C01300,195.075625
C01384,116.010959
C01386,175.063329
C01387,114.140851
C01394,150.052823
C01403,108.057515
C01405,180.042259
C01411,154.135765
C01413,113.903358
C01419,178.041213
C01424,170.021523
C01452,180.063388
C01453,198.115698
C01454,136.05243
C01456,166.062994
C01464,182.073165
C01467,108.057515
C01468,108.057515
C01478,141.92473
C01481,180.042259
C01487,180.063388
C01488,150.052823
C01489,182.079038
C01494,194.057909
C01499,152.120115
C01500,154.135765
C01502,124.05243
C01504,132.057515
C01507,182.079038
C01508,150.052823
C01510,150.052823
C01526,164.058578
C01536,181.073893
C01542,108.057515
C01545,128.120115
C01546,112.016044
C01551,158.04399
C01569,152.068473
C01570,131.094629
C01571,172.14633
C01575,165.115364
C01582,180.063388
C01585,116.08373
C01586,179.058243
C01596,115.026943
C01601,158.13068
C01602,132.089878
C01606,166.026609
C01616,197.035793
C01620,136.037173
C01624,178.062994
C01633,158.167065
C01672,102.115698
C01680,180.063388
C01684,164.068473
C01685,166.047738
C01693,193.037508
C01697,182.079038
C01705,169.014009
C01710,134.073165
C01717,189.042593
C01719,180.063388
C01720,180.063388
C01721,164.068473
C01722,182.079038
C01732,130.026609
C01733,149.051049
C01740,129.15175
C01744,166.062994
C01751,110.036779
C01752,192.042259
C01756,152.015667
C01757,144.042259
C01765,154.135765
C01766,154.135765
C01767,150.104465
C01772,164.047344
C01784,120.068748
C01785,110.036779
C01796,120.042259
C01799,117.078979
C01801,134.057909
C01819,132.068748
C01825,180.063388
C01826,117.078979
C01839,168.042259
C01842,101.084064
C01853,182.021523
C01854,178.095357
C01861,191.8857
C01868,150.104465
C01869,167.094629
C01871,120.006742
C01875,170.167065
C01877,129.042593
C01879,129.042593
C01880,114.06808
C01892,149.980921
C01904,152.068473
C01905,132.053492
C01906,180.063388
C01924,188.127326
C01929,139.074562
C01930,145.121512
C01933,131.094629
C01934,180.063388
C01938,190.026609
C01950,122.048013
C01951,150.104465
C01956,123.043262
C01959,167.036462
C01962,152.99182
C01963,150.06808
C01983,152.047344
C01984,152.047344
C01987,109.052764
C01988,139.026943
C01989,162.052823
C01991,104.047344
C01996,146.118104
C02009,118.053098
C02018,105.032697
C02022,120.042259
C02024,194.042653
C02037,132.053492
C02040,133.052764
C02045,120.042259
C02057,165.078979
C02066,141.115364
C02083,120.057515
C02091,133.048741
C02095,164.068473
C02096,150.052823
C02104,148.073559
C02107,150.016438
C02108,168.11503
C02115,119.058243
C02122,130.062994
C02123,176.068473
C02124,128.002892
C02126,138.042927
C02129,130.062994
C02131,172.132411
C02132,130.026609
C02137,150.031694
C02150,116.010959
C02155,188.116092
C02167,186.016438
C02170,118.026609
C02172,189.042593
C02180,173.998679
C02181,152.047344
C02183,126.031694
C02193,103.026943
C02201,166.062994
C02204,150.052823
C02205,150.052823
C02207,161.068808
C02209,180.063388
C02213,152.120115
C02214,130.026609
C02216,149.070145
C02217,186.125594
C02220,157.037508
C02221,104.037448
C02222,158.021523
C02224,118.123189
C02226,130.026609
C02227,143.073499
C02230,165.06506
C02231,117.006208
C02233,116.047344
C02234,104.037448
C02235,155.021858
C02237,129.042593
C02240,100.05243
C02241,149.070145
C02242,165.06506
C02256,189.100108
C02261,103.063329
C02262,179.079373
C02264,195.074287
C02265,165.078979
C02266,148.037173
C02274,148.05243
C02277,186.198365
C02278,184.182715
C02287,120.005873
C02289,150.104465
C02290,161.129003
C02295,144.042259
C02298,175.063329
C02299,107.073499
C02304,108.068748
C02323,124.05243
C02336,180.063388
C02338,164.068473
C02341,174.016438
C02343,151.099714
C02344,154.135765
C02348,158.04399
C02350,158.04399
C02351,108.021129
C02356,103.063329
C02357,155.997807
C02359,140.027358
C02360,162.052823
C02362,131.021858
C02363,166.062994
C02364,140.027358
C02366,147.068414
C02370,155.997807
C02371,140.027358
C02372,109.052764
C02373,100.088815
C02375,143.997807
C02376,125.058912
C02378,131.094629
C02379,194.057909
C02380,152.015667
C02385,174.111676
C02389,109.028954
C02394,134.073165
C02405,125.97181
C02419,151.041547
C02421,122.048013
C02427,189.111341
C02431,164.068473
C02441,125.047678
C02442,151.099714
C02445,156.11503
C02452,152.120115
C02454,108.068748
C02455,121.089149
C02462,154.135765
C02476,164.068473
C02479,150.052823
C02480,142.026609
C02484,154.135765
C02485,150.104465
C02486,131.094629
C02488,162.052823
C02496,184.012021
C02498,130.135765
C02499,170.073165
C02501,158.021523
C02504,176.068473
C02505,135.068414
C02512,114.042927
C02514,186.016438
C02518,153.042593
C02519,152.047344
C02522,164.068473
C02526,186.06808
C02527,168.01876
C02532,185.008924
C02535,109.963472
C02543,169.988509
C02548,160.100048
C02560,110.048013
C02565,114.042927
C02576,150.104465
C02581,186.148061
C02595,142.00885
C02596,131.073499
C02604,150.052823
C02612,148.037173
C02614,148.037173
C02615,133.052764
C02617,158.036779
C02625,161.96392
C02627,162.100442
C02630,148.037173
C02631,158.057909
C02634,123.008706
C02635,123.008706
C02636,160.097368
C02637,172.037173
C02638,107.038257
C02639,152.047344
C02642,132.053492
C02646,150.06808
C02647,129.090212
C02652,172.037173
C02656,160.073559
C02657,152.047344
C02660,149.02992
C02661,127.90284
C02666,178.062994
C02669,178.047738
C02670,176.032088
C02674,132.042259
C02677,159.953173
C02692,178.047738
C02693,174.079313
C02703,184.999408
C02704,111.983029
C02709,151.063329
C02710,173.105193
C02712,191.061614
C02714,130.110613
C02718,102.042927
C02720,109.052764
C02721,103.063329
C02722,129.115364
C02723,102.115698
C02727,188.116092
C02728,160.121178
C02734,174.008195
C02735,137.084064
C02752,126.031694
C02753,148.037173
C02759,152.120115
C02763,164.047344
C02765,165.115364
C02766,134.032757
C02774,188.141245
C02775,149.047678
C02777,114.042927
C02779,178.047738
C02780,192.027003
C02781,164.068473
C02782,180.063388
C02783,134.057909
C02791,160.979905
C02796,145.052764
C02798,167.982374
C02800,130.026609
C02803,165.042593
C02804,118.062994
C02807,182.036779
C02814,126.031694
C02824,179.061614
C02835,126.042927
C02837,128.094963
C02846,121.089149
C02854,125.047678
C02876,154.00311
C02893,100.088815
C02904,172.14633
C02909,158.073165
C02914,169.988509
C02918,137.071488
C02923,124.05243
C02924,124.001656
C02926,101.047678
C02928,164.032088
C02930,144.042259
C02932,111.032028
C02933,177.958835
C02937,174.079313
C02938,156.068748
C02946,145.073893
C02948,116.08373
C02952,182.094294
C02975,158.094294
C02979,172.013675
C02989,165.045964
C02991,162.052823
C02994,148.037173
C02997,197.080041
C03004,197.068808
C03005,151.063329
C03007,124.063663
C03012,160.05243
C03015,148.048407
C03030,156.017107
C03037,166.09938
C03039,154.135765
C03043,178.110613
C03047,172.143645
C03056,111.032028
C03057,150.031694
C03059,135.053158
C03063,172.037173
C03064,134.021523
C03065,131.069477
C03066,163.048072
C03067,122.036779
C03071,119.021858
C03077,170.013457
C03078,144.101111
C03079,163.048072
C03080,166.062994
C03081,176.047344
C03087,159.089543
C03088,142.037842
C03089,180.04563
C03092,170.13068
C03093,178.026609
C03098,149.02992
C03107,178.047738
C03113,182.070795
C03114,146.084398
C03124,148.048407
C03139,175.059306
C03140,189.074956
C03145,177.045964
C03153,160.084792
C03166,197.020157
C03167,123.992545
C03172,164.074524
C03173,106.00885
C03178,196.023255
C03189,172.013675
C03196,148.037173
C03197,104.047344
C03198,168.042259
C03203,188.047344
C03209,186.06808
C03210,161.068808
C03212,164.033425
C03214,117.042593
C03215,196.058303
C03217,176.032088
C03223,198.016438
C03228,114.06808
C03230,175.063329
C03232,183.977289
C03233,198.016438
C03235,168.042259
C03239,145.073893
C03241,130.062994
C03248,113.995309
C03264,132.078644
C03269,178.047738
C03273,116.047344
C03277,154.037842
C03283,118.074228
C03284,103.063329
C03289,176.032088
C03290,181.073893
C03298,169.085127
C03311,123.01427
C03314,196.023255
C03328,176.068473
C03338,140.047344
C03340,169.037508
C03341,131.058243
C03342,194.042653
C03348,148.073559
C03349,139.030314
C03351,124.05243
C03352,138.06808
C03354,105.06122
C03359,142.018543
C03365,194.079038
C03375,131.142248
C03383,178.047738
C03387,176.032088
C03392,121.032325
C03401,104.058578
C03404,195.089543
C03409,160.048407
C03440,131.058243
C03448,168.11503
C03450,193.073893
C03453,158.021523
C03458,127.026943
C03459,148.000788
C03465,130.062994
C03467,130.062994
C03473,137.084064
C03474,190.037842
C03485,108.057515
C03493,167.058243
C03499,132.078644
C03500,130.062994
C03505,154.00311
C03508,117.042593
C03510,180.056863
C03522,151.063329
C03527,194.167065
C03537,119.040485
C03548,132.005873
C03557,125.02418
C03564,113.047678
C03570,179.079373
C03571,117.078979
C03572,175.987636
C03574,149.047678
C03576,141.975835
C03584,199.059306
C03585,175.987636
C03586,142.026609
C03589,132.042259
C03590,166.026609
C03591,158.013457
C03600,192.027003
C03618,147.053158
C03619,194.079038
C03622,185.084064
C03623,159.053158
C03629,112.987794
C03647,142.026609
C03651,131.058243
C03652,162.052823
C03656,145.073893
C03659,194.079038
C03660,194.079038
C03663,152.047344
C03665,103.063329
C03666,186.016438
C03671,184.000788
C03672,182.057909
C03676,158.021523
C03678,119.058243
C03679,151.018877
C03680,156.053492
C03682,187.084458
C03703,158.032757
C03711,151.099714
C03716,146.021523
C03719,167.040485
C03722,167.021858
C03727,179.025228
C03739,116.08373
C03741,131.058243
C03742,149.047678
C03743,142.026609
C03752,195.074287
C03753,191.997807
C03754,168.01876
C03757,165.042593
C03758,153.078979
C03761,162.052823
C03762,154.037842
C03765,136.05243
C03766,133.052764
C03767,142.062994
C03771,173.080041
C03782,125.02418
C03790,147.053158
C03793,188.152478
C03804,136.019415
C03817,156.053492
C03824,141.042593
C03826,148.037173
C03827,162.052823
C03829,180.056863
C03830,192.042259
C03840,174.031694
C03843,184.109944
C03844,194.079038
C03846,188.116092
C03864,160.109944
C03865,160.109944
C03871,189.063722
C03884,188.127326
C03894,156.01876
C03901,147.035399
C03912,113.047678
C03920,155.991486
C03921,192.027003
C03926,178.047738
C03927,111.032028
C03929,180.11503
C03943,132.089878
C03947,154.00311
C03961,149.032422
C03964,182.057909
C03969,129.078979
C03972,171.053158
C03975,179.044324
C03979,162.052823
C03981,132.005873
C03982,101.084064
C03985,154.135765
C03986,167.058243
C03994,138.079313
C04002,188.032088
C04022,134.04015
C04033,192.042259
C04039,134.057909
C04043,152.047344
C04044,182.057909
C04045,196.037173
C04049,190.047738
C04050,176.058578
C04051,126.054161
C04053,176.032088
C04071,197.056542
C04075,149.024356
C04076,145.073893
C04078,199.043377
C04091,112.05243
C04092,127.063329
C04104,148.073559
C04105,142.026609
C04106,132.042259
C04110,190.026609
C04112,156.042259
C04114,143.094629
C04122,155.034744
C04126,155.034744
C04167,186.06808
C04171,156.042259
C04181,132.042259
C04185,193.037508
