,molecular_formula,mass
C00549,C18H23N4O14P(C9H11N2O8P)n,856.5346259959999
C00550,C24H49N2O6PR,492.630466998
C00551,,
C00552,C4H6O6,150.016438
C00553,C10H20O,156.151415
C00555,C4H9NO,87.068414
C00556,C7H8O,108.057515
C00557,C5H8O,84.05751500000001
C00558,C6H10O7,194.042653
C00559,C10H13N5O3,251.101839
C00561,C8H7NO,133.052764
C00562,,
C00563,C23H34N3O10P,543.198181
C00565,C3H9N,59.073499
C00566,C27H42N7O22P3S,941.131646
C00568,C7H7NO2,137.047678
C00569,,
C00570,C11H20N4O11P2,446.06038099999995
C00571,C6H13N,99.104799
C00573,(C28H46N2O29S3)n,970.8565570000001
C00574,C6H11O5R,163.148816
C00575,C10H12N5O6P,329.05252
C00576,C5H12NO,102.091889
C00577,C3H6O3,90.03169399999999
C00579,C8H17NOS2,207.075156
C00580,C2H6S,62.019020999999995
C00581,C3H7N3O2,117.053826
C00582,C29H42N7O17P3S,885.1570730000001
C00583,C3H8O2,76.05243
C00584,C20H32O5,352.22497400000003
C00585,C10H10N2O3R2,670.181176
C00586,C6H12O5,164.068473
C00587,C7H6O3,138.031694
C00588,C5H15NO4P,184.073869
C00590,C10H12O3,180.078644
C00591,C10H16NO9R,294.235804
C00593,C2H4O4S,123.983029
C00596,C5H6O3,114.03169399999999
C00597,C3H7O7P,185.99293899999998
C00599,C27H44O,384.339216
C00601,C8H8O,120.057515
C00602,C6H11O6R,179.148221
C00603,C3H6N2O4,134.032757
C00604,C12H8N2,180.068748
C00605,C24H37N7O17P3SR,820.574468994
C00606,C3H7NO4S,153.009578
C00607,(C14H18NO11R3)n,2008.232766
C00608,C5H10O6PR,197.103301998
C00609,C3H5OR,57.07133
C00611,C14H25NO11,383.142761
C00612,C9H21N3O,187.168462
C00613,C7H13N5O2R2,519.1988379999999
C00614,C6H8N2O4R2,780.116384
C00615,C7H8N4O2R2,500.15243
C00616,C15H10O10S,381.999467
C00617,C15H22N2O18P2,580.034285
C00618,C6H10O7,194.042653
C00619,C19H28O,272.214016
C00620,C5H11O8P,230.01915400000001
C00621,C20H38O7P2(C5H8)n,520.577144996
C00623,C3H9O6P,172.013675
C00624,C7H11NO5,189.06372199999998
C00625,C7H12NO6R,206.173605
C00627,C8H12NO6P,249.04022400000002
C00628,C7H6O4,154.026609
C00630,C25H42N7O17P3S,837.1570730000001
C00631,C3H7O7P,185.99293899999998
C00632,C7H7NO3,153.04259299999998
C00633,C7H6O2,122.03677900000001
C00634,(C14H21NO14S)n,459.38029400000005
C00635,(C14H21NO14S)n,459.38029400000005
C00636,C6H13O9P,260.029719
C00637,C10H9NO,159.068414
C00638,C3H5O2R,73.070735
C00639,C20H34O5,354.240624
C00640,C24H39N7O18P3SR,838.5897559939999
C00641,C5H6O5R2,898.070406
C00642,C8H8O3,152.04734399999998
C00643,C11H12N2O3,220.084792
C00644,C6H15O9P,262.045369
C00645,C8H15NO6,221.08993700000002
C00647,C8H13N2O5P,248.056208
C00650,C8H7NO2,149.047678
C00651,C6H9NO4,159.053158
C00652,C5H8O5,148.037173
C00653,(C5H11O7P)n,214.110647998
C00655,C10H13N4O9P,364.042015
C00658,C24H37N7O17P3SR,820.574468994
C00659,C6H10O4,146.057909
C00661,C3H7O6P,169.998024
C00662,,
C00663,C6H13O9P,260.029719
C00664,C20H24N8O6,472.181881
C00665,C6H14O12P2,339.996049
C00666,C7H14N2O4,190.095357
C00667,,
C00668,C6H13O9P,260.029719
C00669,C8H14N2O5S,250.062342
C00670,C8H21NO6P,258.110649
C00671,C6H10O3,130.062994
C00672,C5H11O7P,214.02423900000002
C00673,C5H11O7P,214.02423900000002
C00674,C19H28O2,288.20893
C00675,C5H10O6PR,197.103301998
C00676,C5H10O6PR,197.103301998
C00677,C5H12O12P3R,357.063137994
C00679,C6H8O7,192.027003
C00680,C7H14N2O4,190.095357
C00681,C4H8O7PR,199.07608499799997
C00682,C6H6O4,142.026609
C00683,C25H40N7O19P3S,867.1312519999999
C00684,C5H8O5,148.037173
C00685,C3H2O2SR2,134.176512
C00686,C7H13NO9PR,286.15352299799997
C00688,C16H24N2O15P2,546.065191
C00689,C12H23O14P,422.082542
C00691,C6H10O6,178.04773799999998
C00692,C28H43N5O23P2,879.182406
C00693,C3H2OSR2,118.177107
C00694,C14H24NO11R,382.341102
C00695,C24H40O5,408.287574
C00696,C20H32O5,352.22497400000003
C00697,N2,28.006148
C00698,Cl,34.968853
C00700,C10H15N4O15P3,523.974675
C00701,,
C00703,Hg,201.970626
C00704,O2,31.989828999999997
C00705,C9H15N3O10P2,387.023267
C00706,NH2R,16.022585
C00707,(C5H8O4)n.,132.114848
C00708,I,126.904468
C00711,C4H6O5,134.021523
C00712,C18H34O2,282.25588
C00713,C18H32O16,504.16903499999995
C00714,(C26H36O24)n,732.5508360000001
C00715,C6H5N5O,163.04941000000002
C00716,C3H7NO3,105.042593
C00717,C2H5O2R,61.059995
C00718,(C6H10O5)n,162.140875
C00719,C5H11NO2,117.078979
C00720,BrR,79.9035
C00721,(C12H20O10)n,324.28175
C00722,C2H2OR2,58.03617199999999
C00723,,
C00725,C8H14O2S2,206.043521
C00726,CNR,26.017443
C00727,C7H8O2,124.05243
C00729,C8H15NO,141.115364
C00732,C16H24N2O4,308.173607
C00734,C12H24N2O9(C6H11NO4)n,501.48362899999995
C00735,C21H30O5,362.20932400000004
C00736,C3H7NO2S,121.019749
C00737,C6H12O6,180.06338799999997
C00738,C6H12O6,180.06338799999997
C00739,C6H14N2O2,146.105528
C00740,C3H7NO3,105.042593
C00741,C4H6O2,86.03677900000001
C00742,F,18.998403
C00744,C45H75NO17,901.5035
C00745,C10H14N2,162.115698
C00746,C43H66N12O12S2,1006.436457
C00747,C5H5N,79.042199
C00748,C42H44FeN4O16,916.210173
C00750,C10H26N4,202.215747
C00751,C30H50,410.391252
C00752,,
C00753,W,183.95093300000002
C00755,C8H8O3,152.04734399999998
C00756,C8H18O,130.135765
C00757,C20H18NO4,336.123583
C00758,C11H6O4,202.026609
C00759,,
C00760,(C6H10O5)n,162.140875
C00761,C16H22O8,342.13146800000004
C00762,C21H28O5,360.19367400000004
C00763,C5H9NO2,115.06332900000001
C00764,C6H12O6,180.06338799999997
C00765,C56H92O29,1228.572427
C00766,C15H12O2,224.08372999999997
C00768,C6H9N3O2,155.069477
C00770,C6H12O7,196.058303
C00771,C12H22O11(C6H10O5)n,504.437912
C00772,C6H10O4,146.057909
C00773,C34H63N5O9,685.462579
C00774,C15H14O5,274.08412400000003
C00775,,
C00777,C20H28O2,300.20893
C00778,C20H28R,268.437148
C00779,C10H10O4,194.057909
C00780,C10H12N2O,176.09496299999998
C00783,C8H13NO,139.09971399999998
C00785,C6H6N2O2,138.042927
C00786,C16H14O5,286.08412400000003
C00787,,
C00788,C9H13NO3,183.089543
C00789,C14H25N3O15P2,537.07609
C00791,C4H7N3O,113.058912
