,molecular_formula,mass
C19046,C10H9Cl2NO,229.00611899999998
C19047,C8H15N3O2,185.11642700000002
C19048,C12H6Cl3NO3,316.941326
C19049,C10H9Cl2NO,229.00611899999998
C19050,C15H22ClNO2,283.13390699999997
C19051,C16H22ClNO3,311.128821
C19052,C16H13ClFNO3,321.056799
C19053,C13H18ClNO,239.107692
C19054,C14H12F3NO4S2,379.015984
C19055,KAsF6,227.87572200000002
C19056,C7H5Cl2NO2,204.96973400000002
C19057,C8H5Cl3O3,253.930427
C19058,C9H9N3OS,207.046633
C19059,C11H9Cl2NO2,257.001034
C19060,C11H10ClNO2,223.040006
C19061,C19H22N2O4,342.157957
C19062,C8H7Cl2NO2,218.98538399999998
C19063,C15H23N3O4,309.168856
C19064,C13H19N3O6S,345.09945600000003
C19065,C14H16F3N3O4,347.10929100000004
C19066,C13H9Cl2NO4,312.990863
C19067,KCNO,80.96169599999999
C19068,C13H16N2O6,296.100836
C19069,C13H7Br2N3O6,458.87015999999994
C19070,C15H13ClO4,292.05023700000004
C19071,C8H8Cl2O5S,285.946949
C19072,C11H9Cl5O3,363.899433
C19073,C17H16Cl2N2O4,382.048712
C19074,C12H13ClN2O,236.07164100000003
C19075,C15H15ClN2O2,290.082205
C19076,C16H18N2O3,286.131742
C19077,C9H13N2O.,325.999175
C19078,C14H21N3O11PR(C5H8O6PR)n,633.3918669960001
C19079,C10H16O3,184.10994399999998
C19080,C23H33N6O18P2R(C5H8O6PR)n,938.573524994
C19081,C10H16O,152.120115
C19082,C10H18O2,170.13068
C19083,C10H16O2,168.11503000000002
C19084,C10H16O3,184.10994399999998
C19085,C33H45N11O24P3R(C5H8O6PR)n,1267.779923992
C19086,C10H14N2S,194.08776899999998
C19087,C9H11ClN2O,198.05599099999998
C19088,C9H11ClN2O.,359.960203
C19089,C10H11F3N2O,232.082348
C19090,C16H14Cl2N2O2,336.043233
C19091,C5HCl2F2NO,198.940325
C19092,C7H12N4O3S2,264.035082
C19093,C6H7F3N4OS,240.029266
C19094,C10H17Cl2NOS,269.04079
C19095,C7H15NOS,161.087435
C19096,C8H14ClNS2,223.025619
C19097,C10H21NOS,203.134385
C19098,C9H17N5O,211.14331
C19099,C7H11N7S,225.079664
C19100,C8H15N5S,213.10481600000003
C19101,C11H21N5S,255.151766
C19102,C7H10ClN5O2,231.052302
C19103,C10H18ClN5,243.125073
C19104,C11H21N5OS,271.146681
C19105,C8H12ClN5O2,245.067952
C19106,C10H19N5O,225.15896
C19107,C12H20N4OS,268.135782
C19108,C8H11BrN2O2,246.00038999999998
C19109,C11H22N2O,198.17321299999998
C19110,C13H22N2O,222.17321299999998
C19111,C13H22N2O,222.17321299999998
C19112,C10H16N4O2S,256.099396
C19113,CaCN2,79.968739
C19114,C8H5Cl3O2,237.935513
C19115,C10H10Cl2O2,232.005785
C19116,C11H10N2O,186.07931299999998
C19117,C10H7N3O,185.05891200000002
C19118,C4H6O2S4,213.92506200000003
C19119,C12H14N2O6,282.08518599999996
C19120,C6H10O2S4,241.956362
C19121,C16H12ClNO4S,349.017556
C19122,C3Cl6O,261.808031
C19123,C9H6Cl2N2O3,259.975547
C19124,C16H16O2,240.11503
C19125,C12H6O3,198.031694
C19126,C12H8BrN3O4,336.96981800000003
C19127,C4H8OS2,136.001656
C19128,C6H8N2O5,188.043321
C19129,C17H27NO2,277.204179
C19130,C10H7Cl5O,317.89395299999995
C19131,C11H25ClO6Si,316.11089300000003
C19132,C4H11NO8P2,262.995989
C19133,C18H36N,266.284775
C19134,C13H19NO,205.146664
C19135,C15H25N3O,263.199762
C19136,C11H10N2S,202.056469
C19137,C3H10N6S2,194.040836
C19138,C7H10ClN3,171.056325
C19139,C33H25N3O3,511.189592
C19140,C14H13Cl2N2O2PS,373.98124
C19141,C14H14O3,230.094294
C19142,C12H18O4,226.120509
C19143,C12H22O4,230.151809
C19144,C23H23NO,329.17796400000003
C19145,C20H26O6,362.172939
C19146,C15H22O6,298.141638
C19147,C18H28O3S,324.175915
C19148,C14H13Cl2O2PS,345.975092
C19149,C6H4Cl6O4,349.824075
C19150,C5H11NS2,149.033291
C19151,C34H43N6O21P,902.221889
C19152,C24H29N4O15P,644.136703
C19153,C19H22N3O12P,515.09411
C19154,C16H17N3O7,363.10665
C19155,C13H19N5O13P2,515.0454589999999
C19156,C3H7O6P,169.998024
C19157,Th,232.03805
C19158,C2H4Cl2O,113.96392
C19159,Pu,238.04955299999997
C19160,C2H5ClO,80.002892
C19161,Cr,51.940512
C19162,P,31.973907
C19163,,
C19164,C4H8Cl2S,157.972376
C19165,C7H6Cl2,159.984656
C19166,C7H5Cl3,193.945683
C19167,C7H7Cl,126.023628
C19168,C7H5ClO,140.002892
C19169,C7H8ClN,141.034527
C19170,C9H16ClN3O7,313.067678
C19171,Co,58.9332
C19172,,
C19173,C18H10,226.07825
C19174,C24H14,302.10955
C19175,C3H6ClNO,107.013792
C19176,C2H8N2,60.068748
C19177,C2H6O4S,125.99867900000001
C19178,C3H7N3O2,117.053826
C19179,InP,145.87763999999999
C19180,C11H10N4,198.090546
C19181,C2H6O3S,110.00376499999999
C19182,C9H15Br6O4P,691.580821
C19183,WC,195.95093300000002
C19184,C2H3Br,105.94181299999998
C19185,C2H3F,46.021878
C19186,C11H9N3,183.079647
C19187,C12H11N3,197.095297
C19188,C14H15N3,225.12659700000003
C19189,C6H4N4O3S,212.00041099999999
C19190,C56H106O13,986.763343
C19191,C7H9NO,123.06841399999999
C19192,Sb2O3,289.79238
C19193,C17H21N3,267.173548
C19194,C5H7N3O4,173.043656
C19195,C20H12,252.0939
C19196,C20H12,252.0939
C19197,C18H12,228.0939
C19198,C39H41N3O6S2.,734.233447
C19199,C5H10Br2O2,259.90475499999997
C19200,,
C19201,C4H6O2,86.03677900000001
C19202,,
C19203,(C12H16O15S2R2)n,1105.672611
C19204,C9H4Cl6O4,385.824075
C19205,C5H3Cl3O3,215.91477700000002
C19206,C4H7Cl,90.023628
C19207,C6H7ClN2,142.029776
C19208,C4H5Cl,88.00797800000001
C19209,C37H28N4O10S3.,830.0762950000001
C19210,C19H17N3.,323.118925
C19211,C14H7Br2NO2,378.88435400000003
C19212,C2H2BrClO2,171.89266999999998
C19213,C34H28N6O16S4.,996.00354
C19214,C18H16N2O3,308.116092
C19215,CoSO4.,280.95888199999996
C19216,C8H11NO,137.08406399999998
C19217,C16H16N2O2,268.121178
C19218,C7H10N2O,138.07931299999998
C19219,C21H13N,279.104799
C19220,C21H13N,279.104799
C19221,C20H13N,267.104799
C19222,C24H14,302.10955
C19223,C24H14,302.10955
C19224,C3H6Br2O,215.87854
C19225,C12H10Cl2N2,252.022104
C19226,C12H10Cl2N2O,268.017018
C19227,C4H12N2,88.100048
C19228,C12H14O4,222.08920899999998
C19229,C10H12O2,164.08373
C19230,C6H14O4S,182.06128
C19231,C14H16N2O2,244.121178
C19232,C11H11N5O4,277.081104
C19233,C2H8N2,60.068748
C19234,C16H8N2O4,292.048407
C19235,C16H8N2O4,292.048407
C19236,C14H12N4O2,268.096026
C19237,C4H8O,72.05751500000001
C19238,C5H8O2,100.05243
C19239,C3H8O3S,124.019415
C19240,C8H6N4O4S,254.010975
C19241,C34H59NO15,721.38847
C19242,C34H59NO14,705.393556
C19243,C23H29NO7,431.19440199999997
C19244,C11H10N4,198.090546
C19245,C10H8N4,184.074896
C19246,C3H4O2,72.021129
C19247,C11H17N3O4,255.121906
C19248,C2Cl6,233.813116
C19249,C6H8O,96.05751500000001
C19250,C6H18N3OP,179.118749
C19251,C22H12,276.0939
C19252,C20H19N3.,337.134575
C19253,C12H11N3,197.095297
C19254,C12H12N4,212.10619599999998
C19255,C11H11N5,213.101445
C19256,C13H18Cl2N2O2,304.07453300000003
C19257,C3H7N,57.057849
C19258,C4H8N2O3,132.053492
C19259,C19H14,242.10955
C19260,C15H18N2,226.14699900000002
C19261,C4H6N2,82.05309799999999
C19262,C4H6N2,82.05309799999999
C19263,C6H12O,100.088815
C19264,C15H9NO4,267.053158
C19265,C5H6N2OS,142.020084
C19266,C17H20N2O,268.157563
C19267,C13H16N4O6,324.106984
C19268,C6H6N4O3S,214.01606099999998
C19269,C12H9NO2,199.063329
C19270,C7H7NO3,153.04259299999998
C19271,C18H11NO2,273.078979
C19272,C8H8N4O4,224.054555
C19273,C9H7N3O4S,253.01572599999997
C19274,C5H11Cl2NO,171.021769
C19275,CH3NO2,61.016378
C19276,C16H9NO2,247.063329
C19277,C8H18N2O,158.141913
C19278,C4H10N2O3,134.069142
C19279,C6H14N2O,130.110613
C19280,C4H7N3O,113.058912
C19281,C3H8N2O,88.063663
C19282,C3H6N2O,86.048013
C19283,C4H8N2O2,116.058578
C19284,C5H10N2O,114.07931299999998
C19285,C4H8N2O,100.063663
C19286,C3H6N2O3,118.037842
C19287,C17H14N2O,262.110613
C19288,"Mg(Al,Fe)Si4O10(OH).",
C19289,C11H11N5O5,293.07601800000003
C19290,C11H11N5.,249.078123
C19291,C9H10O2,150.06808
C19292,Mg3Si4O10(OH)2,377.817457
C19293,C19H16N2O7S2.,494.01943200000005
C19294,C18H14N2O7S2.,480.00378200000006
C19295,KBrO3,165.86678799999999
C19296,C3H6O3S,122.00376499999999
C19297,C3H4O2,72.021129
C19298,C12H9O.,192.05511
C19299,C2F4,99.993613
C19300,CN4O8,195.971613
C19301,C4H8N2O3,132.053492
C19302,C2H5NS,75.01427
C19303,C12H12N2S,216.072119
C19304,C4H4N2OS,128.004433
C19305,C6H12Cl3N.,238.98021
C19306,C13H13N3,211.110947
C19307,C34H24N6O14S4.,959.982411
C19308,V2O5,181.862501
C19309,C4H6O2,86.03677900000001
C19310,C8H12,108.0939
C19311,C8H12O2,140.08373
C19312,C12H10,154.07825
C19314,C18H12,228.0939
C19315,C17H19N3,265.157898
C19316,C3H5Cl,76.00797800000001
C19317,C4H5NS,99.01427
C19318,C8H14O2,142.09938
C19319,C12H11N,169.089149
C19320,C15H11NO2,237.078979
C19321,C6H6N2O3,154.03784199999998
C19322,C6H6N2O3,154.03784199999998
C19323,C6H6N2O3,154.03784199999998
C19324,C3H3N3O2S,144.994597
C19325,C11H23NO2,201.172879
C19326,C7H9NO,123.06841399999999
C19327,C22H12,276.0939
C19328,Sb2S3,337.723848
C19329,C12H24N9P3,387.136751
C19330,(C14H10N2O2)n,238.241986
C19331,C5H11AsO2,177.997501
C19332,C4H9NO,87.068414
C19333,C16H22N2O6,338.147786
C19334,C12H10N2,182.084398
C19335,C19H12,240.0939
C19336,C20H12,252.0939
C19337,C17H11N,229.08914900000002
C19338,C17H11N,229.08914900000002
C19339,C22H14,278.10955
C19340,C22H14,278.10955
C19341,C20H12,252.0939
C19342,C18H10,226.07825
C19343,C17H12,216.0939
C19344,C17H12,216.0939
C19345,C6H6N2O2,138.042927
C19346,C14H10O4,242.057909
C19347,C8H16N3OPS,233.075169
C19348,C4H8Cl2O2,157.990135
C19349,C10H12Cl2O2,234.021435
C19350,C6H12Cl2O,170.02652
C19351,C10H14O3,182.094294
C19352,C37H34N2O9S3.,792.1221820000001
C19353,C2HBrClN,152.898089
C19354,C2H5Br,107.95746299999999
C19355,C6H14O2,118.09938000000001
C19356,C7H16O2,132.11503000000002
C19357,C14H10O5,258.052823
C19358,C20H12N2O7S2.,501.98813099999995
C19359,NH2Cl,50.987577
C19360,C2H2ClN,74.987577
C19361,CHClF2,85.973484
C19362,CH2ClF,67.982906
C19363,C4H7Cl,90.023628
C19364,C6H4ClNO2,156.993056
C19365,C6H7ClN2,142.029776
C19366,C7H8ClN,141.034527
C19367,C2H2ClF3,117.979712
C19368,Cr,51.940512
C19369,C12H12N4.,248.08287400000003
C19370,C18H13N4O7S.,452.040264
C19371,C16H11N2O4S.,350.033722
C19372,C16H10N2O7S2.,451.97248099999996
C19373,C17H13N3O3,307.095691
C19374,C16H15NO2,253.110279
C19375,C24H12,300.0939
C19376,C8H11NO,137.08406399999998
C19377,C4H6O,70.041865
C19378,C6H12NO3S.,201.04355900000002
C19379,C24H31Cl2N5O7,571.1600540000001
C19380,C19H12,240.0939
C19381,C21H16,268.125201
C19382,(C17H12ClN2O4S)2.,887.946502
C19383,C12Br10O,949.1782910000001
C19384,C6H7N3O2,153.05382600000002
C19385,C6H7N3O2,153.05382600000002
C19386,C7H10N2,122.084398
C19387,CH2N2,42.021798
C19388,C22H14,278.10955
C19389,C22H14,278.10955
C19390,C24H14,302.10955
C19391,C21H14,266.10955
C19392,C28H16,352.125201
C19393,C24H14,302.10955
C19394,C24H14,302.10955
C19395,C2HCl2N,108.948604
C19396,C2HBr2N,196.847574
C19397,C6H4Cl2,145.969006
C19398,C4H6Cl2,123.984656
C19399,C6H6Cl2N2,175.990804
C19400,C5H12N2S,132.072119
C19401,C16H12,204.0939
C19402,C8H14O4,174.089209
C19403,C16H12N2O4,296.079707
C19404,C13H10O3,214.062994
C19405,C13H10O3,214.062994
C19406,C2H7O3P,110.013281
C19407,C16H14,206.10955
C19408,C16H8N2O4,292.048407
C19409,C5H10N6O2,186.086524
C19410,C7H6N2O4,182.032757
C19411,C12H12N2,184.100048
C19412,C15H15N3O2,269.116427
C19413,C17H14ClFN2O3,348.067698
C19414,C17H22N2O.,388.19982200000004
C19415,C9H12N2O2,180.089878
C19416,C20H8Br4O5,643.7105240000001
C19417,C16H24O4,280.167459
C19418,C18H34O3,298.25079500000004
C19419,C2H4S,60.003370999999994
C19420,C11H20O2,184.14633
C19421,C20H40N4S8Se,672.018385
C19422,C34H24N6O14S4.,959.982411
C19423,C37H35N2O10S3.,809.124922
C19424,Fe2O3,159.854628
C19425,C16H10,202.07825
C19426,C21H38O3,338.282095
C19427,C21H40O3,340.297745
C19428,C37H35N2O6S2.,713.173193
C19429,C12H19N3O5,285.132471
C19430,C8H11N3O3,197.080041
C19431,C10H14N2O5,242.09027200000003
C19432,C20H24N2O2S.,452.143963
C19433,C12H10N2O,198.07931299999998
C19434,C9H7NO,145.052764
C19435,C19H28NO7,382.186577
C19436,,
C19437,,
C19438,C24H46O4,398.33961
C19439,C37H35N2O9S3.,793.130007
C19440,C3H4O2,72.021129
C19441,C10H22Cl2N2O4.,376.049018
C19442,C13H18Cl2N2O2,304.07453300000003
C19443,C4H6O2,86.03677900000001
C19444,C12H8O3,200.04734399999998
C19445,C2H5NO2,75.032028
C19446,CH3Cl,49.992328
C19447,C19H14,242.10955
C19448,C19H14,242.10955
C19449,C19H14,242.10955
C19450,C19H14,242.10955
C19451,C19H14,242.10955
C19452,C7H7N3O2,165.05382600000002
C19453,C15H10N2O2,250.07422799999998
C19454,C17H12,216.0939
C19455,C17H12,216.0939
C19456,C4H7NO2,101.047678
C19457,C15H12,192.0939
C19458,C15H9NO3,251.058243
C19459,C15H15N3O2,269.116427
C19460,C12H24N4S8Se,559.893184
C19461,C12H16N2O5,268.105922
C19462,C12H15N3O6,297.096085
C19463,C10H10N2,158.084398
C19464,C12H6N2O2,210.042927
C19465,C24H14,302.10955
C19466,C24H14,302.10955
C19467,C24H14,302.10955
C19468,C6H8N4O3S,216.03171099999997
C19469,C7H8N2O3,168.053492
C19470,C14H9NO2,223.063329
C19471,C18H11NO2,273.078979
C19472,C20H11NO2,297.078979
C19473,C12H9NO2,199.063329
C19474,C10H7NO2,173.047678
C19475,C20H11NO2,297.078979
C19476,C16H9NO2,247.063329
C19477,C10H13N3O,191.105862
C19478,C10H11N3O,189.090212
C19479,C12H10N2O,198.07931299999998
C19480,C19H18N8O7,470.12984500000005
C19481,C6H8N2O3,156.053492
C19482,C7H10N2O3,170.069142
C19483,C5H8N2O4,160.048407
C19484,C4H8N2O2,116.058578
C19485,C5H8N2O3,144.053492
C19486,C7H7NO2,137.047678
C19487,C14H12N6O6,360.08183199999996
C19488,C20H16,256.125201
C19489,C20H16O,272.120115
C19490,C20H18O2,290.13068
C19491,C5H11NO,101.084064
C19492,(C6H11NO)n,113.157899
C19493,C42H50Cl4N2O4,786.252469
C19494,C19H20N2O3,324.147393
C19495,C8H10O4,170.057909
C19496,C2HCl5,199.85208899999998
C19497,C20H12,252.0939
C19498,C7H9N3O,151.07456200000001
C19499,C6H8N2,108.068748
C19500,C22H14,278.10955
C19501,(C3H4O2)n,72.062794
C19502,(C4H5Cl)n,88.53556499999999
C19503,(C2H4)n,28.053244
C19504,(C5H8O2)n,100.116038
C19505,(C3H6)n,42.079866
C19506,(C8H8)n,104.149448
C19507,(C2F4)n,100.01509265199999
C19508,(C2H3Cl)n,62.498203000000004
C19509,(C6H9NO)n,111.14201700000001
C19510,C18H14N2O7S2.,480.00378200000006
C19511,C5H10NO2S2.,218.979002
C19512,C35H45Cl2NO6,645.2623940000001
C19513,C15H19NO.,265.123342
C19514,C4H9NO2,103.06332900000001
C19515,C20H30O8,398.194068
C19516,C14H7NO3,237.042593
C19517,C28H31N2O3.,478.202321
C19518,C15H16N4O,268.132411
C19519,,
C19520,C24H20N4O,380.163711
C19521,CH5N3O.,111.01993999999999
C19522,Mg4(OH)2(Si2O5)3.6H2O,645.794314
C19523,NaClO2,89.948452
C19524,C4H4O3,100.016044
C19525,C16H12N2O,248.09496299999998
C19526,C18H16N2O,276.126263
C19527,C22H16N4O,352.132411
C19528,C16H14N4,262.121846
C19529,C24H21N5,379.179696
C19530,C12H14N4O2S,278.083746
C19531,C16H10N2O7S2.,451.97248099999996
C19532,,
C19533,C12H8Cl4N2,319.944159
C19534,C2H2Cl4,165.891061
C19535,C2Cl3N,142.90963200000002
C19536,C2H3Cl3,131.930033
C19537,C12H22O6,262.141638
C19538,C14H12O3,228.078644
C19539,C9H13N,135.10479899999999
C19540,C9H13N,135.10479899999999
C19541,C18H12,228.0939
C19542,C12H13N3O2,231.100777
C19543,C6H12N3OP,173.071799
C19544,C6H11Cl3O3,235.977377
C19545,C24H12O2,332.08373
C19546,(C4H6O2)n.,86.089416
C19547,C2H2F2,64.012456
C19548,C6H9NO,111.06841399999999
C19549,C9H10,118.07825
C19550,CaSiO3,115.92426200000001
C19551,C8H10,106.07825
C19552,C16H13N3,247.110947
C19553,C17H15N3,261.126597
C19554,,
C19555,Fe2O3,159.854628
C19556,C9H18N3OP,215.118749
C19557,C6H14O8S2,278.013009
C19558,C11H8N2O5,248.043321
C19559,C20H18O3,306.125594
C19560,C9H6N2O2,174.042927
C19561,C20H16O,272.120115
C19562,C20H16O4S,352.07693
C19563,C10H13N3O3,223.09569100000002
C19564,C9H11N3O2,193.085127
C19565,C9H11NO2,165.078979
C19566,C10H13N3O3,223.09569100000002
C19567,C9H9NO2,163.063329
C19568,CH4N2O,60.032363000000004
C19569,C9H9NO3,179.058243
C19570,(C5H10NS2)4.,722.008086
C19571,,
C19572,SiO2,59.966756000000004
C19573,(C8H8)n.,104.149448
C19574,C10H15N3O2,209.11642700000002
C19575,(C8H8)n.,104.149448
C19576,,
C19577,C10H15N3O3,225.111341
C19578,C9H11NO2,165.078979
C19579,C9H11NO3,181.073893
C19580,C10H15N3O3,225.111341
C19581,C9H13N3O2,195.100777
C19582,C9H13NO2,167.094629
C19583,C17H22O8,354.13146800000004
C19584,C17H14O6,314.07903799999997
C19585,C17H12O7,328.05830299999997
C19586,C17H12O7,328.05830299999997
C19587,C16H10O6,298.047738
C19588,C17H14O8,346.068867
C19589,C17H14O8,346.068867
C19590,C17H18O8,350.100168
C19591,C17H16O8,348.084517
C19592,C17H16O8,348.084517
C19594,C17H12O8,344.053217
C19595,C17H12O7,328.05830299999997
C19596,,
C19597,C7H7NO2,137.047678
C19598,,
C19599,C5H10NS2.,171.01523500000002
C19600,C14H10CaO6,314.010329
C19601,(C7H8N4O2)2.,400.092042
C19602,C10H13N3O3,223.09569100000002
C19603,C10H15N3O3,225.111341
C19604,C20H16O,272.120115
C19605,C16H23N3O8,385.148515
C19606,C16H23N3O8,385.148515
C19607,C20H18O2,290.13068
C19608,,
C19609,Ni,57.935348
C19610,Mn,54.93805
C19611,Mn,54.93805
C19612,C7H14O7,210.073953
C19613,C18H30O3,294.219495
C19614,C16H30O3,270.219495
C19615,C16H30O4,286.214409
C19616,C18H34O3,298.25079500000004
C19617,C18H32O3,296.23514500000005
C19618,C18H32O4,312.23006000000004
C19619,C15H24,204.187801
C19620,C18H34O4,314.24571000000003
C19621,C18H36O5,332.256274
C19622,C18H36O4,316.26136
C19623,C22H44O3,356.329045
C19624,C22H42O3,354.313395
C19625,C22H42O4,370.30831
C19630,,
C19631,C9H9NO4,195.053158
C19632,C12H22O11,342.116212
C19633,C12H22O11,342.116212
C19634,C12H22O11,342.116212
C19635,C12H22O10,326.121297
C19636,C12H22O11,342.116212
C19637,C4H10O6S4,281.936021
C19638,C17H28,232.21910099999997
C19639,C17H28,232.21910099999997
C19640,C17H28,232.21910099999997
C19641,C18H30,246.234751
C19642,C24H40O2,360.302831
C19643,C24H32O4,384.23006000000004
C19644,C29H52O,416.401816
C19645,,
C19646,,
C19647,C17H24N5O11P(C5H8O6PR)n(C5H8O6PR)n,895.5487359939999
C19648,C27H44O3,416.329045
C19649,C27H44O3,416.329045
C19650,C27H44O3,416.329045
C19651,C28H50O,402.386166
C19652,C28H48O,400.370516
C19653,C28H44O,396.339216
C19654,C29H50O,414.386166
C19655,C30H50O,426.386166
C19656,C30H52O4,476.38656
C19657,C30H50O,426.386166
C19658,C23H36O2,344.27153
C19659,C24H42,330.328651
C19660,C24H38O2,358.28718
C19661,C27H48,372.375602
C19662,C27H44O2,400.334131
C19663,C27H46O,386.354866
C19664,C28H50,386.391252
C19665,C28H50,386.391252
C19666,C29H52,400.406902
C19667,C29H52,400.406902
C19668,C30H52,412.406902
C19669,C10H26N4,202.215747
C19670,C18H35NO,281.271865
C19671,,
C19672,,
C19673,C4H5O3SR,133.14568
C19674,C5H13O8P,232.034804
C19675,C3H8O5S,156.009244
C19676,C15H24O,220.182715
C19677,C15H22O,218.16706499999998
C19678,C15H22O2,234.16197999999997
C19679,C6H10O6,178.04773799999998
C19680,C8H10N2O,150.07931299999998
C19681,C8H12N2O,152.09496299999998
C19682,C27H42N7O19P3S,893.146902
C19683,C27H42N7O18P3S,877.1519880000001
C19684,C28H40N7O18P3S,887.1363380000001
C19685,C23H38N7O20P3S2,889.0825880000001
C19686,C10H9NO5,223.04807200000002
C19687,C11H11ClN2O2,238.05090499999997
C19688,C11H9ClN2O2,236.03525499999998
C19689,C10H18N4O5S,306.09979
C19690,C20H34N8O10S2,610.1839309999999
C19691,C18H31NO2S,325.20755
C19692,H2Sn,121.917847
C19693,C29H20ClN7O11S3,773.007144
C19694,C6H11NO4,161.06880800000002
C19695,H2O(C39H64N8O19)n,966.98469
C19696,H2O(C43H69N9O22)n,1082.072273
C19697,HClO,51.971592
C19698,C22H13Cl2N3O4,453.02831100000003
C19699,C20H9Cl2N3O2,393.007182
C19700,C26H19Cl2N3O7,555.0600049999999
C19701,C27H21Cl2N3O7,569.075655
C19702,C12H23NO10,341.132196
C19703,C15H28N2O11S,444.14137999999997
C19704,C33H40N4O6,588.2947849999999
C19705,C33H38N4O7,602.27405
C19706,C5H9NO3,131.058243
C19707,C14H14O4,246.08920899999998
C19708,C15H24,204.187801
C19709,H2O(C10H17N5O4)n,289.288819
C19710,C4H7NO4(C10H17N5O4)n,404.376402
C19711,C15H24O,220.182715
C19712,C9H11NO3,181.073893
C19713,C10H19N5O5(C10H17N5O4)n,560.5623509999999
C19714,C8H9NO,135.068414
C19715,C9H11NO4,197.06880800000002
C19716,C11H12N2O3,220.084792
C19717,C11H12N2O4,236.07970699999998
C19719,C6H12N2O4,176.079707
C19720,C34H55N7O24P2,1007.2773689999999
C19721,C5H5NO3,127.02694299999999
C19722,C9H14N3O8P(C5H8O6PR)n(C5H8O6PR)n,713.371784994
C19723,C15H26N5O9P(C5H8O6PR)n(C5H8O6PR)n,841.544327994
C19724,C45H60CoN5O13,937.351962
C19725,C19H28N4O18P2,662.087383
C19726,C21H30O3,330.219495
C19727,C16H10O6,298.047738
C19728,C30H40O,416.30791600000003
C19729,C10H12O2,164.08373
C19730,C20H24O2,296.17762999999997
C19731,C10H16O2,168.11503000000002
C19732,C30H50O2,442.38108099999994
C19733,C30H50O2,442.38108099999994
C19734,C15H24,204.187801
C19735,C15H24,204.187801
C19736,C15H24,204.187801
C19737,C15H24,204.187801
C19738,C15H24,204.187801
C19739,C16H12O7,316.05830299999997
C19740,C15H24,204.187801
C19741,C15H24,204.187801
C19742,C15H24,204.187801
C19743,C15H26O,222.198365
C19744,C15H26O,222.198365
C19745,C19H28N4O18P2,662.087383
C19746,C15H26O,222.198365
C19747,C15H24,204.187801
C19748,C15H24,204.187801
C19749,C15H24,204.187801
C19750,C12H10O2,186.06808
C19752,C15H24,204.187801
C19753,C15H24,204.187801
C19754,C15H24,204.187801
C19755,C15H26O,222.198365
C19756,C15H26O,222.198365
C19757,C8H14O2,142.09938
C19758,C12H22O10,326.121297
C19759,C40H58,538.453852
C19760,C15H28O7P2,382.13102599999996
C19761,C14H26NO14P,463.10909100000003
C19762,C27H29O17,625.140475
C19763,C36H58O9,634.408083
C19764,C40H60,540.4695019999999
C19765,C40H62,542.485152
C19766,C10H12FN5O3,269.092417
C19767,C16H20N2O2,272.152478
C19768,C10H12ClN5O3,285.062867
C19769,C11H17NO7,275.100502
C19770,C11H20NO11P,373.077397
C19771,C26H46N7O26P5S,1059.0901279999998
C19772,C61H102O12P2,1088.684652
C19773,C12H22O11,342.116212
C19774,C17H31O18P,554.1248009999999
C19775,C23H37FN7O17P3S,827.116351
C19776,C5H8O11P2R2,925.533446956
C19777,C4H7NO2,101.047678
C19778,C5H11N3O,129.090212
C19779,C3H8N2O,88.063663
C19780,C5H10N2O2,130.074228
C19781,C5H10N2O,114.07931299999998
C19782,C5H11N3O,129.090212
C19783,C5H10N2O2,130.074228
C19784,C14H25NO11,383.142761
C19785,C19H34N8O8,502.24996
C19786,C19H36N8O9,520.260525
C19787,C11H14N4O4S,298.073576
C19788,C7H6N2O4,182.032757
C19789,C7H5NO5,183.016772
C19790,C12H11N4O2R,243.241853
C19791,C9H17O12P,348.04576299999997
C19792,C9H16O9,268.079432
C19793,C15H27O17P,510.098586
C19794,C15H25N3O16P2,565.071005
C19795,C40H58O,554.448766
C19796,C27H30O16,610.153385
C19797,C30H40,400.313001
C19798,C30H36O2,428.27153
C19799,C12H24O17P2,502.04887199999996
C19800,C13H12O2,200.08373
C19801,C30H50O,426.386166
C19802,C12H19N3O8R2,1517.251078
C19803,C5H8N2O3R2,608.1115940000001
C19804,C13H21N3O8R2,1531.2776999999999
C19805,C22H47NO5,405.34542400000004
C19806,C6H8O6,176.032088
C19807,C18H16O7,344.08960299999995
C19808,C14H18O8,314.100168
C19809,C6H12N2O,128.09496299999998
C19810,C20H32,272.25040099999995
C19811,C29H39O2R,419.619969
C19812,C14H17OR,201.284762
C19813,C4H7NO5,149.032422
C19814,C20H32,272.25040099999995
C19815,C20H36O7P2,450.19362699999994
C19816,C20H32,272.25040099999995
C19817,C20H34O,290.260966
C19818,C10H16,136.125201
C19819,C30H50O,426.386166
C19820,C30H50O,426.386166
C19821,C6H8O4,144.042259
C19822,C6H8O4,144.042259
C19823,C17H25N3O16P2,589.071005
C19824,C3H3N2O2R,99.068259
C19825,C3H3N2O2R,99.068259
C19826,C6H8O4,144.042259
C19827,C18H30O3,294.219495
C19828,C30H52O2,444.39673099999993
C19829,C30H52O2,444.39673099999993
C19830,C7H9NO3,155.058243
C19831,C7H9NO3,155.058243
C19832,C30H50O,426.386166
C19833,C30H50O,426.386166
C19834,C30H50,410.391252
C19835,C30H50O,426.386166
C19836,C20H36O7P2,450.19362699999994
C19837,C9H7NO2,161.047678
C19838,C4H7NO5,149.032422
C19839,C30H40O,416.30791600000003
C19840,C30H46,406.35995099999997
C19841,C30H44,404.344301
