,molecular_formula
C01001,C35H44N4O16
C01002,C6H13O9P
C01003,C4H6N2O3R2
C01004,C7H7NO2
C01005,C3H8NO6P
C01007,C17H22N4O6
C01008,C3H9S
C01009,C15H24N2O16P2
C01010,C2H4N2O3
C01011,C26H42N7O20P3S
C01012,C6H10O3
C01013,C3H6O3
C01014,C9H12O2
C01015,C5H9NO3
C01016,C5H10O7PR
C01017,C11H12N2O3
C01018,C6H12O5
C01019,C6H12O5
C01020,C6H5NO3
C01021,C3H6NO2R
C01022,
C01023,C21H41N7O12
C01024,C40H46N4O17
C01025,HO2R
C01026,C4H9NO2
C01028,C6H14N2O3
C01029,C9H21N3O
C01031,C11H17N3O7S
C01032,C5H9O5R
C01033,C26H44N7O17P3S
C01034,C19H28O
C01035,C5H11N3O2
C01036,C8H8O6
C01037,C9H20N2O2
C01040,C6H10O6
C01041,C6H7O6
C01042,C6H9NO5
C01043,C4H8N2O3
C01044,C5H7NO5
C01045,C6H9NO5
C01046,C6H11NO4
C01047,C7H14N2O3
C01048,C5H11O4P(C5H8)n
C01050,C20H31N3O19P2
C01051,C40H44N4O16
C01053,C6H10O4
C01054,C30H50O
C01056,C10H14N2O
C01058,
C01059,C5H5NO2
C01060,C9H9I2NO3
C01061,C8H8O6
C01062,C6H10O7
C01063,C28H46N7O19P3S
C01064,C19H28N4O16PR
C01066,C6H8O2
C01067,C6H12O9S
C01068,C5H13O8P
C01069,C14H19NO6S
C01070,
C01071,
C01073,C5H9NO3
C01074,
C01075,C6H13NO8S
C01076,C2H3NOR2
C01077,C6H11NO4
C01078,C6H8N2O2R2
C01079,C34H40N4O4
C01080,C29H38N5O18P
C01081,C12H18N4O4PS
C01083,C12H22O11
C01086,C24H39N7O18P3SR
C01087,C5H8O5
C01088,C6H10O5
C01089,C4H8O3
C01090,C19H32O2
C01091,C23H30N2O5
C01092,C9H17NO3
C01093,C12H20O11
C01094,C6H13O9P
C01095,C5H12O11P2
C01096,C6H15O9P
C01097,C6H13O9P
C01099,C6H13O8P
C01100,C6H12N3O4P
C01101,C5H11O8P
C01102,C4H10NO6P
C01103,C10H13N2O11P
C01104,C3H9NO
C01107,C6H13O7P
C01108,C6H6O3
C01109,C6H10N2O3
C01110,C5H9NO3
C01111,C10H7NO5
C01112,C5H11O8P
C01113,C6H13O9P
C01114,C5H8O5
C01115,C6H10O6
C01117,C5H10O7PR
C01118,C8H13NO6
C01119,C4H8O2S2
C01120,C18H40NO5P
C01121,C8H19N6O7P
C01122,C24H37N7O17P3SR
C01123,C10H16O
C01124,C21H30O5
C01125,C6H8O3
C01126,C15H26O
C01127,C5H6O6
C01131,C6H13O8P
C01132,C8H15NO6
C01133,C8H15NO7
C01134,C11H23N2O7PS
C01135,
C01136,C10H19NO2S2
C01137,C14H23N6O3S
C01138,C21H40N7O15P
C01139,C4H6N2O3R2
C01140,C6H11O6R
C01141,C4H6N2O3R2
C01142,C6H14N2O2
C01143,C6H14O10P2
C01144,C25H42N7O18P3S
C01146,C3H4O4
C01147,C6H10O2
C01149,C7H16NO
C01151,C5H12O11P2
C01152,C7H11N3O2
C01153,H2PO4R
C01155,C15H10O13S2
C01156,C15H10O13S2
C01157,C5H9NO3
C01158,C13H16O10
C01159,C3H8O10P2
C01161,C8H8O4
C01162,C6H9N3O2
C01163,C7H6O6
C01164,C27H44O
C01165,C5H9NO3
C01166,
C01167,C10H11N2O6PR2
C01168,C9H13N2O9P
C01169,C12H21NO4S2
C01170,C17H27N3O17P2
C01171,C6H13O9P
C01172,C6H13O9P
C01173,C10H8O3
C01175,C17H22O10
C01176,C21H30O3
C01177,C6H13O9P
C01179,C9H8O4
C01180,C5H8O3S
C01181,C7H16NO2
C01182,C5H12O11P2
C01183,C8H11NO
C01185,C11H15NO9P
C01186,C6H14N2O2
C01187,C8H14O8
C01188,C4H8O3
C01189,C27H46O
C01190,C25H46NO8R
C01191,C25H45O8P(C5H8)n
C01192,C19H37O7P
C01194,C11H17O13PR2
C01196,C10H17O10PR2(C5H8O6PR)n
C01197,C9H8O4
C01198,C9H10O3
C01199,C10H17O10PR2(C5H8O6PR)n
C01200,C10H17NO12PR
C01201,C21H35N9O15P2
C01203,C18H33OSR
C01204,C6H18O24P6
C01205,C4H9NO2
C01207,C9H10O5
C01209,C3H3O3SR
C01210,C3H10NO4P
C01211,C7H13N3O3R2
C01212,C23H36N4O20P2
C01213,C25H40N7O19P3S
C01214,C6H13NO5
C01215,C7H9NO5
C01216,C6H10O6
C01217,C30H45N6O16P
C01218,C6H11O10P
C01219,C15H23N3O15P2
C01220,C6H14O12P2
C01221,C21H42N7O15P
C01222,C16H23N5O15P2
C01223,C9H16N3O3
C01225,C9H19O11P
C01226,C18H28O3
C01227,C19H28O2
C01228,C10H17N5O17P4
C01229,C14H22O8PR3
C01230,C30H52O7P2
C01231,C6H14O12P2
C01233,C5H14NO6P
C01234,C4H7NO2
C01235,C12H22O11
C01236,C6H11O9P
C01239,C8H16N2O5
C01240,C5H8O6PR
C01241,C8H14NO8PR2
C01242,C9H19N2OS2R
C01243,C6H15O15P3
C01244,C9H6I2O4
C01245,C6H15O15P3
C01246,C26H47O9P(C5H8)n
C01247,C4H7N2O6PR2
C01249,C10H9NO5
C01250,C7H11NO4
C01251,C7H10O7
C01252,C10H9NO4
C01253,C22H34N10O15P2R2
C01255,C12H24N2O3
C01256,C4H6N2O3R2
C01259,C9H21N2O3
C01260,C20H28N10O19P4
C01261,C20H28N10O21P4
C01262,C10H16N4O3
C01263,C15H12O5
C01264,C5H10O7PR
C01265,C17H14O7
C01266,C21H42N7O14P
C01267,C6H9N2O5P
C01268,C9H15N4O9P
C01269,C10H13O10P
C01270,C7H7NO3
C01271,C3H4O2SR2
C01272,C6H16O18P4
C01273,C12H10O4
C01274,C31H45N6O17P
C01275,C11H8O5
C01277,C11H18O16P2R2
C01278,C7H6O6
C01279,C6H9N3O
C01280,C21H43N7O18P2
C01281,C10H10N2O3R2
C01282,C27H52NO8PR
C01283,C6H14NO8P
