compound,formula,mass
132003,C13H9N2O2,225.223
132004,C45H74O2,647.07
132005,C13H11N2O2,227.239
132006,C47H76O2,673.107
132007,C47H74O2,671.091
132008,C12H10N2,182.222
132009,C49H88O6,773.221
132010,C8H14NO4R,188.201
132011,C15H27N2O8PS,426.424
943,C7H3Cl2N,172.01086
132012,C17H31N2O8PS,454.477
945,C12H7Cl2NO2,268.09492
132013,C19H35N2O8PS,482.53
132014,C21H39N2O8PS,510.584
132015,C23H43N2O8PS,538.637
132016,C20H31O3,319.459
132017,C25H47N2O8PS,566.69
132018,C27H51N2O8PS,594.743
952,C8H8O4,168.1467
132019,C20H31O3,319.459
132020,C35H59N2O11PS,746.891
955,C8H10O3,154.1632
132021,C38H65N2O11PS,788.971
957,C7H6N2O4,182.1335
132022,C12H17O4,225.261
132023,C12H20N2O8PSR,383.336
132028,C26H44NO6S,498.698
961,C15H14O6,290.26806
132030,C26H42NO5,448.616
963,C13H9ClN2OS,276.74214
132029,C18H31O3,295.438
132032,C58H108O6,901.477
132033,C58H106O6,899.461
132034,C59H110O6,915.503
132035,C61H112O6,941.541
132036,C61H110O6,939.525
132037,C61H108O6,937.509
132038,C63H118O6,971.61
132039,C63H116O6,969.594
132040,C3H5NO4SR,151.142
132041,C17H28N2O5,340.415
132042,C14H28NO4S,306.443
132043,C16H32NO4S,334.496
132045,C18H36NO4S,362.55
978,C14H23N4O8P2S,469.367
132047,C20H40NO4S,390.603
132048,C22H44NO4S,418.656
132049,C26H52NO4S,474.762
132050,C26H36N2O4,440.576
132051,C12H20N4O3S,300.379
132052,C7H10O5,174.152
132053,C11H11N5O6S2,373.368
132054,C43H74NO7P,748.026
132055,C14H9ClF4N2O4,380.679
132056,C16H13ClF4N2O4,408.733
132057,C41H79N2O6P,727.051
132058,C48H97N2O6P,829.269
991,C4H11NO2,105.13568
132059,C48H97N2O6P,829.269
132060,C22H36NO4S,410.592
994,C7H5NO5,183.11834
995,C7H7NO5,185.13422
132061,C22H36NO6S,442.59
132062,C22H36NO6S,442.591
132063,C20H31O5,351.458
132064,C18H31O4,311.437
132065,C20H31O5,351.458
132066,C15H25N3O7S,391.442
132067,C20H31O5,351.458
132069,C10H16N5O14P3,523.181
132070,C20H29O3,317.443
132071,C23H36NO3,374.538
132072,C24H38NO3,388.564
132073,C22H34NO5,392.51
132074,C23H36NO5,406.537
132075,C24H38NO5,420.563
1010,C6H10NO3,144.14854
132076,C22H34NO5,392.51
132077,C23H36NO5,406.537
132078,C24H38NO5,420.563
132080,C22H29O5,373.463
1015,C6H7NO3S,173.19072
132081,C22H29O5,373.463
132083,C20H29O3,317.443
132084,C22H27ClN4O2,414.929
1019,C26H46NO7P,515.6197
132086,C29H24O2,404.501
132087,C20H29O3,317.443
132089,C3H7Na2O6P,216.038
132091,C20H29O5,349.442
132092,C3H15Na2O10P,288.099
132094,C2H3NaO3,98.033
132095,H2NaO4V,139.945
132096,C3H5NaO3,112.06
132097,C3H5O3,89.07
132098,C3H6O3,90.078
132093,C26H40NO22,718.59
132099,H8MoNa2O8,277.97
132100,C8H15NaO2,166.194
132101,C5H3N2NaO4,178.078
132102,C21H32N5O2,386.512
132103,ClNaO4,122.44
132104,C34H53N2O27,921.783
132105,C34H53N2O27,921.783
132106,C3H5NaO2,96.06
132107,H20Na3O14P,344.094
1040,C3H2ClN3O2,147.5197
132108,H18Na2O12Si,284.201
132109,C18H35NaO2,306.46
132110,C9H9NaO5,220.155
132111,C9H9O5,197.165
132112,Na2O3S2,158.11
132114,C17H24N3O20P2S,684.395
132115,C17H23N3O23P2S2,763.451
132116,C25H42N7O18P3S,853.625
132117,C12H13NO3,219.237
132121,C23H38O5,394.546
132119,C23H38O5,394.546
132118,C15H23N3O8S,405.425
132122,C15H23N3O7S,389.426
132125,C6H8O5,160.125
132127,C20H31O4,335.459
132128,C25H36O4,400.552
132129,C20H31O4,335.459
132124,C6O2R4,104.063
132131,C10H12O4,196.2
1060,C5H8O5,148.11402
132133,C10H13N3O7,287.227
132134,C9H13N3O5,243.217
132135,C18H33NO4,188.201
132136,C18H33NO4,188.201
132138,C12H12O12,348.217
132140,4CH4.23H2O,478.517
132143,C41H73NO8,708.022
132144,C41H73NO8,708.022
132145,C70H134O17S,1279.872
132148,C10H17NO8R2,279.244
132149,C20H29O5,349.442
132150,C43H49NO18,867.847
132151,C14H20NO11,378.309
132152,C33H38O11,610.649
132153,(C14H20NO11)n.H2O,132153
132154,(C14H20NO11)n.C8H15NO6,132154
132158,C18H26N6O8,454.435
132159,C19H27N5O9,469.447
132160,C19H27N5O9,469.447
132161,C18H28N6O14P2,614.395
132162,C18H28N6O14P2,614.395
132163,C19H29N5O15P2,629.406
132164,C19H29N5O15P2,629.406
132165,C9H16N3O9P,341.212
132167,C18H26N6O13P2,596.38
132169,C9H15N3O6,261.232
132170,C5H11O6P,198.111
132171,C10H16N2O5,244.245
132172,C10H17N2O8P,324.225
132173,C20H32O,288.468
132174,C69H113NO17P2,1290.582
132175,C40H67N2O30,1055.957
132177,C5H8O3,116.115
132178,C10H4Cl2NO2,241.051
1107,C36H54O2,518.81276
132179,C70H117N2O55,1866.661
1109,C37H56O2,532.83934
1110,C36H54O,502.81336
132180,C12H12Cl2N2O2,287.142
132181,C4H12N,74.145
1113,C5H6O3,114.09934
132182,C8H18,114.229
132184,C14H19ClO,238.754
132185,C4H8O4,120.104
132187,C6H15NO2,133.189
132188,C5H11NO4S,181.211
132189,C9H12N2O7,260.201
132190,C9H13N2O10P,340.181
132192,C11H18O8,278.256
132191,C14H22N2O7,330.334
132193,C14H23N2O10P,410.314
132195,C9H14N2O4,214.219
132197,C4H4N2O4,144.086
132194,C2D5NO2,80.098
132200,C30H47N3O10S,641.776
132201,C20H31O4,335.459
132202,C12H21N3O13P2,477.255
132203,C25H15NO9,473.389
132204,C10H20O12P2,394.207
132205,C10H20O13P2,410.206
132206,C42H70N3O30,1097.009
1135,C12H10O5,234.2048
132207,C68H113N4O49,1770.625
132208,C73H120N5O53,1915.739
132209,C90H147N6O65,2353.135
132210,C71H116N2O17P2,1331.634
132212,C78H127N6O56,2044.853
132211,C74H122N2O22P3,1484.685
132214,C78H127N6O56,2044.853
132216,C87H143N6O63,2281.072
132217,C76H126N5O55,1989.817
132218,C20H29O5,349.442
132219,C20H27O4,331.427
1148,C4H8O3,104.1045
132220,C109H177N8O79,2863.582
132221,C4H9NO5S,183.184
132222,C123H200N9O89,3228.916
132223,C4H9NO5S,183.184
132225,C4H9NO5S,183.184
132224,(C3H6O5P)n.C74H122N2O22P3,132224
1156,C18H22O3,286.36548
1157,C2H6O4S,126.132
132228,C22H30O3,342.473
1159,C2H7O4P,126.0483
132230,C16H17FN4O4,348.33
132231,C13H28,184.362
1162,C7H8O5,172.1354
132232,C8H14N2O6,234.207
132233,C9H13N,135.207
132234,C12H17NO2,207.269
132238,C6H6FeNO6,243.96
132239,C19H22N4O2,338.404
132240,C6H12N2O4,176.171
132241,C54H81N5O61S6,1968.617
132242,C54H81N5O73S10,2288.874
1171,C3H9O4P,140.0749
132244,C11H9NO2,187.195
132245,C20H20O7,372.369
132246,C20H28O,284.436
132247,C20H18O7,370.353
525464,C20H34O2,306.4828
132248,C12H19N3O7,317.296
1178,C7H10O5,174.152
132249,C20H18O8,386.353
